Potential (custom) / Current (µA),GR1,GR2,GR3
-0.51177978515625,-0.5303955078125,-0.892333984375,-1.19415283203125
-0.50689697265625,-0.4644775390625,-0.82244873046875,-1.10504150390625
-0.50201416015625,-0.394287109375,-0.7525634765625,-1.0137939453125
-0.49713134765625,-0.3369140625,-0.68817138671875,-0.92498779296875
-0.49224853515625,-0.2880859375,-0.62103271484375,-0.85662841796875
-0.48736572265625,-0.23864746093750003,-0.5621337890625,-0.76568603515625
-0.48248291015625,-0.173492431640625,-0.49560546875000006,-0.69488525390625
-0.47760009765625,-0.142852783203125,-0.44189453125,-0.6280517578125
-0.47271728515625,-0.087432861328125,-0.39031982421875,-0.56884765625
-0.46783447265625,-0.039520263671875,-0.3338623046875,-0.4840087890625
-0.46295166015625,0.006866455078125,-0.28594970703125,-0.416259765625
-0.45806884765625,0.05322265625,-0.2264404296875,-0.36407470703125
-0.45318603515625,0.095245361328125,-0.185791015625,-0.3021240234375
-0.44830322265625,0.137939453125,-0.129608154296875,-0.24597167968749997
-0.44342041015625,0.16766357421875,-0.0870361328125,-0.194091796875
-0.43853759765625,0.21270751953125,-0.039276123046875,-0.136749267578125
-0.43365478515625,0.24749755859374997,0.010162353515625,-0.083648681640625
-0.42877197265625,0.27984619140625,0.05169677734375,-0.037445068359375
-0.42388916015625,0.32135009765625,0.0794677734375,0.02459716796875
-0.41900634765625,0.35003662109375,0.12005615234375,0.073822021484375
-0.41412353515625,0.38818359375,0.157623291015625,0.1309814453125
-0.40924072265625,0.41534423828125,0.19451904296875,0.1749267578125
-0.40435791015625,0.46722412109375,0.2313232421875,0.21728515625
-0.39947509765625,0.49163818359375,0.262451171875,0.26153564453125
-0.39459228515625,0.513916015625,0.30853271484375,0.30517578125
-0.38970947265625,0.54656982421875,0.3314208984375,0.33905029296875
-0.38482666015625,0.57159423828125,0.36834716796875,0.3857421875
-0.37994384765625,0.5963134765625,0.39398193359375,0.4193115234375
-0.37506103515625,0.62286376953125,0.428466796875,0.46783447265625
-0.37017822265625,0.65521240234375,0.4736328125,0.5029296875
-0.36529541015625,0.67474365234375,0.50079345703125,0.5450439453125
-0.36041259765625,0.7098388671875,0.52337646484375,0.58502197265625
-0.35552978515625,0.73577880859375,0.540771484375,0.61614990234375
-0.35064697265625,0.7550048828125,0.58502197265625,0.66436767578125
-0.34576416015625,0.7757568359375,0.60882568359375,0.68634033203125
-0.34088134765625,0.79803466796875,0.63995361328125,0.73486328125
-0.33599853515625,0.8209228515625,0.67230224609375,0.76263427734375
-0.33111572265625,0.84930419921875,0.68115234375,0.81024169921875
-0.32623291015625,0.88165283203125,0.7318115234375,0.8306884765625
-0.32135009765625,0.89447021484375,0.74737548828125,0.8770751953125
-0.31646728515625,0.9271240234375,0.78460693359375,0.9027099609375
-0.31158447265625,0.9429931640625,0.8001708984375,0.92987060546875
-0.30670166015625,0.9710693359375,0.823974609375,0.95977783203125
-0.30181884765625,1.0003662109375,0.84991455078125,1.00372314453125
-0.29693603515625,1.0064697265625,0.86395263671875,1.03363037109375
-0.29205322265625,1.03729248046875,0.89813232421875,1.0638427734375
-0.28717041015625,1.05255126953125,0.916748046875,1.10870361328125
-0.28228759765625,1.07025146484375,0.9609985351562499,1.1273193359375
-0.27740478515625,1.09588623046875,0.9811401367187499,1.1651611328125
-0.27252197265625,1.13250732421875,0.9942626953124999,1.19232177734375
-0.26763916015625,1.1328125,1.01043701171875,1.21673583984375
-0.26275634765625,1.16851806640625,1.0430908203125,1.2481689453125
-0.25787353515625,1.17279052734375,1.06292724609375,1.2738037109375
-0.25299072265625,1.19842529296875,1.083984375,1.31103515625
-0.24810791015625,1.22283935546875,1.10565185546875,1.3323974609375
-0.24322509765625,1.25,1.1273193359375,1.36962890625
-0.23834228515625,1.26495361328125,1.1602783203125,1.39007568359375
-0.23345947265625,1.27105712890625,1.1737060546875,1.43157958984375
-0.22857666015625,1.2957763671875,1.19598388671875,1.4459228515625
-0.22369384765625,1.31561279296875,1.20880126953125,1.47430419921875
-0.21881103515625,1.33331298828125,1.231689453125,1.52191162109375
-0.21392822265625,1.34674072265625,1.259765625,1.53106689453125
-0.20904541015625,1.3763427734375,1.2799072265625,1.5594482421875
-0.20416259765625,1.3848876953125,1.30340576171875,1.59637451171875
-0.19927978515625,1.39892578125,1.32598876953125,1.62322998046875
-0.19439697265625,1.4337158203125,1.35345458984375,1.64276123046875
-0.18951416015625,1.4300537109375,1.361083984375,1.6552734375
-0.18463134765625,1.4642333984375,1.37054443359375,1.70166015625
-0.17974853515625,1.463623046875,1.40045166015625,1.72607421875
-0.17486572265625,1.48773193359375,1.416015625,1.7529296875
-0.16998291015625,1.5093994140625,1.4520263671875,1.76666259765625
-0.16510009765625,1.5167236328125,1.4495849609375,1.8096923828125
-0.16021728515625,1.53594970703125,1.48040771484375,1.8206787109375
-0.15533447265625,1.5533447265625,1.4935302734375,1.85577392578125
-0.15045166015625,1.57684326171875,1.51611328125,1.881103515625
