Potential (mV) / Current (µA)	testset1	testset2
588.4887699999999	-14.000000000000002	-34314.0
586.0473629999999	-14.300000000000002	-35049.3
583.605957	-14.6	-35784.6
581.1645510000001	-14.9	-36519.9
578.7231449999999	-15.2	-37255.2
576.2817379999999	-15.5	-37990.5
573.840332	-15.9	-38970.9
571.3989260000001	-16.1	-39461.1
568.9575199999999	-16.4	-40196.4
566.5161129999999	-16.7	-40931.7
564.074707	-17.0	-41667.0
561.6333010000001	-17.3	-42402.3
559.1918949999999	-17.5	-42892.5
556.7504879999999	-17.8	-43627.8
554.309082	-18.0	-44118.0
551.8676760000001	-18.2	-44608.2
549.4262699999999	-18.4	-45098.4
546.9848629999999	-18.6	-45588.6
544.543457	-18.8	-46078.8
542.1020510000001	-19.1	-46814.1
539.6606449999999	-19.2	-47059.2
537.2192379999999	-19.3	-47304.3
534.777832	-19.5	-47794.5
532.3364260000001	-19.6	-48039.59999999999
529.8950199999999	-19.7	-48284.7
527.453613	-19.9	-48774.9
525.012207	-20.0	-49020.0
522.5708010000001	-20.1	-49265.1
520.1293949999999	-20.2	-49510.2
517.687988	-20.3	-49755.3
515.246582	-20.4	-50000.4
512.8051760000001	-20.5	-50245.5
510.36377	-20.7	-50735.7
507.922363	-20.7	-50735.7
505.480957	-20.8	-50980.80000000001
503.039551	-21.0	-51471.0
500.598145	-21.1	-51716.09999999999
498.156738	-21.2	-51961.2
495.715332	-21.4	-52451.4
493.273926	-21.5	-52696.5
490.83252	-21.7	-53186.7
488.391113	-21.9	-53676.9
485.949707	-22.0	-53922.00000000001
483.508301	-22.2	-54412.2
481.066895	-22.3	-54657.299999999996
478.625488	-22.5	-55147.5
476.184082	-22.8	-55882.799999999996
473.742676	-23.0	-56373.0
471.30127	-23.2	-56863.2
468.859863	-23.4	-57353.4
466.418457	-23.7	-58088.69999999999
463.977051	-23.9	-58578.899999999994
461.535645	-24.1	-59069.100000000006
459.094238	-24.299999999999997	-59559.30000000001
456.652832	-24.7	-60539.7
454.211426	-24.9	-61029.9
451.77002	-25.2	-61765.19999999999
449.328613	-25.400000000000002	-62255.399999999994
446.887207	-25.700000000000003	-62990.7
444.445801	-26.1	-63971.100000000006
442.00439500000005	-26.3	-64461.299999999996
439.562988	-26.6	-65196.600000000006
437.121582	-27.000000000000004	-66177.0
434.680176	-27.300000000000004	-66912.3
432.23877000000005	-27.699999999999996	-67892.7
429.797363	-28.1	-68873.1
427.355957	-28.4	-69608.4
424.914551	-28.8	-70588.8
422.47314500000005	-29.2	-71569.2
420.031738	-29.7	-72794.7
417.590332	-30.2	-74020.2
415.148926	-30.7	-75245.7
412.70752000000005	-31.3	-76716.3
410.266113	-31.900000000000002	-78186.9
407.824707	-32.50000000000001	-79657.5
405.383301	-33.2	-81373.2
402.94189500000005	-33.8	-82843.79999999999
400.500488	-34.7	-85049.7
398.059082	-35.6	-87255.6
395.617676	-36.4	-89216.4
393.17627000000005	-37.4	-91667.4
390.734863	-38.4	-94118.4
388.293457	-39.50000000000001	-96814.5
385.852051	-40.6	-99510.6
383.41064500000005	-41.9	-102696.90000000001
380.969238	-43.300000000000004	-106128.3
378.527832	-44.7	-109559.7
376.086426	-46.2	-113236.20000000001
373.64502000000005	-47.9	-117402.90000000001
371.203613	-49.6	-121569.60000000002
368.762207	-51.6	-126471.60000000002
366.32080099999996	-53.7	-131618.7
363.87939500000005	-56.00000000000001	-137256.0
361.437988	-58.5	-143383.5
358.996582	-61.199999999999996	-150001.20000000004
356.55517599999996	-64.30000000000001	-157599.3
354.11377000000005	-67.2	-164707.2
351.672363	-70.8	-173530.80000000002
349.230957	-74.7	-183089.7
346.78955099999996	-79.00000000000001	-193629.0
344.34814500000005	-83.7	-205148.7
341.906738	-89.2	-218629.19999999998
339.465332	-95.6	-234315.59999999998
337.02392599999996	-103.851	-254538.80100000004
334.58252000000005	-114.685	-281092.935
332.141113	-130.585	-320063.835
329.699707	-153.534	-376311.83400000003
327.25830099999996	-183.92900000000003	-450809.979
324.816895	-220.642	-540793.542
322.375488	-258.331	-633169.2810000001
319.934082	-291.84000000000003	-715299.84
317.49267599999996	-315.52099999999996	-773341.9709999999
315.05127	-325.287	-797278.437
312.609863	-318.512	-780672.912
310.168457	-296.08200000000005	-725696.982
307.72705099999996	-264.008	-647083.608
305.285645	-230.04200000000003	-563832.942
302.844238	-200.073	-490378.92299999995
300.402832	-176.178	-431812.278
297.96142599999996	-157.99	-387233.49
295.52002	-144.012	-352973.41200000007
293.078613	-133.118	-326272.218
290.637207	-124.32900000000001	-304730.379
